snake capacity 252
snakePop,  newsize = 10, newhead = 92, newtail = 83
snakePush, newsize = 11, newhead = 93, newtail = 83
snakePop,  newsize = 10, newhead = 93, newtail = 84
snakePush, newsize = 11, newhead = 94, newtail = 84
snakePop,  newsize = 10, newhead = 94, newtail = 85
snakePush, newsize = 11, newhead = 95, newtail = 85
snakePop,  newsize = 10, newhead = 95, newtail = 86
snakePush, newsize = 11, newhead = 96, newtail = 86
snakePop,  newsize = 10, newhead = 96, newtail = 87
snakePush, newsize = 11, newhead = 97, newtail = 87
snakePop,  newsize = 10, newhead = 97, newtail = 88
snakePush, newsize = 11, newhead = 98, newtail = 88
snakePop,  newsize = 10, newhead = 98, newtail = 89
snakePush, newsize = 11, newhead = 99, newtail = 89
snakePop,  newsize = 10, newhead = 99, newtail = 90
snakePush, newsize = 11, newhead = 100, newtail = 90
snakePop,  newsize = 10, newhead = 100, newtail = 91
snakePush, newsize = 11, newhead = 101, newtail = 91
snakePop,  newsize = 10, newhead = 101, newtail = 92
snakePush, newsize = 11, newhead = 102, newtail = 92
snakePop,  newsize = 10, newhead = 102, newtail = 93
snakePush, newsize = 11, newhead = 103, newtail = 93
snakePop,  newsize = 10, newhead = 103, newtail = 94
snakePush, newsize = 11, newhead = 104, newtail = 94
snakePop,  newsize = 10, newhead = 104, newtail = 95
snakePush, newsize = 11, newhead = 105, newtail = 95
snakePop,  newsize = 10, newhead = 105, newtail = 96
snakePush, newsize = 11, newhead = 106, newtail = 96
snakePop,  newsize = 10, newhead = 106, newtail = 97
snakePush, newsize = 11, newhead = 107, newtail = 97
snakePop,  newsize = 10, newhead = 107, newtail = 98
snakePush, newsize = 11, newhead = 108, newtail = 98
snakePop,  newsize = 10, newhead = 108, newtail = 99
snakePush, newsize = 11, newhead = 109, newtail = 99
snakePop,  newsize = 10, newhead = 109, newtail = 100
snakePush, newsize = 11, newhead = 110, newtail = 100
snakePop,  newsize = 10, newhead = 110, newtail = 101
snakePush, newsize = 11, newhead = 111, newtail = 101
snakePop,  newsize = 10, newhead = 111, newtail = 102
pickup,    newsize = 11, newhead = 111, newtail = 101
snakePush, newsize = 12, newhead = 112, newtail = 101
snakePop,  newsize = 11, newhead = 112, newtail = 102
snakePush, newsize = 12, newhead = 113, newtail = 102
snakePop,  newsize = 11, newhead = 113, newtail = 103
snakePush, newsize = 12, newhead = 114, newtail = 103
snakePop,  newsize = 11, newhead = 114, newtail = 104
snakePush, newsize = 12, newhead = 115, newtail = 104
snakePop,  newsize = 11, newhead = 115, newtail = 105
snakePush, newsize = 12, newhead = 116, newtail = 105
snakePop,  newsize = 11, newhead = 116, newtail = 106
snakePush, newsize = 12, newhead = 117, newtail = 106
snakePop,  newsize = 11, newhead = 117, newtail = 107
snakePush, newsize = 12, newhead = 118, newtail = 107
snakePop,  newsize = 11, newhead = 118, newtail = 108
snakePush, newsize = 12, newhead = 119, newtail = 108
snakePop,  newsize = 11, newhead = 119, newtail = 109
snakePush, newsize = 12, newhead = 120, newtail = 109
snakePop,  newsize = 11, newhead = 120, newtail = 110
snakePush, newsize = 12, newhead = 121, newtail = 110
snakePop,  newsize = 11, newhead = 121, newtail = 111
pickup,    newsize = 12, newhead = 121, newtail = 110
snakePush, newsize = 13, newhead = 122, newtail = 110
snakePop,  newsize = 12, newhead = 122, newtail = 111
